# timestamp(s) tx ty tz qx qy qz qw
1693382237.77449 -0.012993 -0.018010 0.038735 0.003365 0.041377 -0.723141 0.689452
1693382237.79802 -0.052314 0.034834 0.033913 0.014056 0.047209 -0.722045 0.690091
1693382237.83159 -0.058351 0.039340 0.042241 0.018600 0.042948 -0.725560 0.686566
1693382237.86524 -0.060147 0.042366 0.053830 0.023001 0.036902 -0.731924 0.679997
1693382237.89888 -0.061000 0.045249 0.067319 0.023707 0.030624 -0.736856 0.674939
1693382237.93252 -0.062875 0.047909 0.082060 0.023674 0.026338 -0.739896 0.671789
1693382237.96608 -0.064803 0.052834 0.098726 0.023941 0.023077 -0.741655 0.669957
1693382237.99972 -0.065675 0.053778 0.115568 0.023596 0.019639 -0.742855 0.668748
1693382238.03337 -0.067809 0.054842 0.133117 0.023045 0.018109 -0.744259 0.667248
1693382238.06770 -0.081416 0.050771 0.145172 0.017379 0.015647 -0.740908 0.671199
1693382238.10153 -0.082477 0.054089 0.165718 0.017528 0.017497 -0.742616 0.669260
1693382238.13446 -0.083358 0.067563 0.184860 0.016548 0.019302 -0.747175 0.664141
1693382238.16774 -0.080401 0.063951 0.198462 0.015735 0.016477 -0.750251 0.660761
1693382238.20110 -0.079382 0.061312 0.216823 0.016960 0.014522 -0.752422 0.658302
1693382238.23445 -0.082546 0.061434 0.235271 0.019613 0.014131 -0.754398 0.655972
1693382238.26783 -0.084223 0.063407 0.250691 0.020991 0.013123 -0.757508 0.652356
1693382238.30117 -0.089264 0.069021 0.262417 0.021961 0.010760 -0.759969 0.649500
1693382238.33463 -0.088684 0.071611 0.278623 0.022895 0.008455 -0.764211 0.644504
1693382238.36839 -0.067109 0.071524 0.293413 0.022578 0.006495 -0.772388 0.634717
1693382238.40182 -0.062204 0.072158 0.312452 0.022172 0.004301 -0.776791 0.629354
1693382238.43518 -0.062728 0.075731 0.333544 0.020586 0.002175 -0.780548 0.624753
1693382238.46842 -0.066445 0.081546 0.355572 0.019177 0.000688 -0.783438 0.621174
1693382238.50161 -0.066842 0.084732 0.376699 0.016770 -0.000934 -0.785059 0.619193
1693382238.53481 -0.066367 0.086314 0.399186 0.015342 -0.000244 -0.785607 0.618536
1693382238.56807 -0.068243 0.090042 0.420631 0.011640 -0.000343 -0.785473 0.618786
1693382238.60128 -0.077552 0.097536 0.437486 0.009305 0.000664 -0.783652 0.621131
1693382238.63471 -0.071772 0.097475 0.454208 0.005154 0.001903 -0.784891 0.619609
1693382238.66812 -0.073745 0.100954 0.476678 0.002301 0.000762 -0.785195 0.619243
1693382238.70145 -0.075327 0.103871 0.499392 0.003767 0.000243 -0.785620 0.618698
1693382238.73485 -0.080244 0.108673 0.518836 0.006481 -0.001947 -0.786135 0.618018
1693382238.76813 -0.084507 0.113101 0.538493 0.010804 -0.004043 -0.787433 0.616292
1693382238.80146 -0.090868 0.118813 0.555275 0.015441 -0.006818 -0.788098 0.615319
1693382238.83480 -0.095529 0.123403 0.572216 0.018378 -0.009553 -0.789410 0.613516
1693382238.86814 -0.102621 0.128611 0.584078 0.021124 -0.010707 -0.789880 0.612803
1693382238.90143 -0.109106 0.132671 0.599926 0.022791 -0.010720 -0.790942 0.611373
1693382238.93480 -0.118846 0.136387 0.610927 0.024800 -0.010325 -0.791529 0.610540
1693382238.96818 -0.126009 0.140279 0.621773 0.026571 -0.012071 -0.792553 0.609105
1693382239.00142 -0.134870 0.142252 0.629154 0.030290 -0.014898 -0.791268 0.610537
1693382239.03470 -0.142977 0.145233 0.638339 0.033836 -0.018568 -0.788521 0.613796
1693382239.06808 -0.149794 0.146307 0.645018 0.037676 -0.021153 -0.785427 0.617444
1693382239.10143 -0.155259 0.148124 0.652877 0.038528 -0.024017 -0.782970 0.620400
1693382239.13483 -0.157934 0.149338 0.655315 0.036425 -0.027398 -0.780879 0.623017
